Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-560.8126,82.34166666666667,-0.9805378145655664,-0.9805378145655664,1.0
20000,1.4210582,-504.71515,80.30081300813008,-0.9771056904540798,-0.9771056904540798,1.0
30000,1.4239963,-430.2956,80.82786885245902,-0.9746097553430534,-0.9746097553430534,1.0
40000,1.4271334,-365.93918,80.9672131147541,-0.9785409829899913,-0.9785409829899913,1.0
50000,1.4291836,-305.55573,80.69672131147541,-0.985934425756091,-0.985934425756091,1.0
60000,1.4312506,-259.14014,81.09836065573771,-0.9744590157490285,-0.9744590157490285,1.0
70000,1.4330261,-215.72194,81.51239669421487,-0.9808842970196866,-0.9808842970196866,1.0
80000,1.4357618,-180.35257,81.77685950413223,-0.9767355365940362,-0.9767355365940362,1.0
90000,1.4389193,-146.07455,80.70731707317073,-0.985122950350652,-0.985122950350652,1.0
100000,1.4399687,-120.1631,79.37903225806451,-0.9790719994306565,-0.9790719994306565,1.0
110000,1.4414967,-106.433105,82.475,-0.9822100834811435,-0.9822100834811435,1.0
120000,1.4421916,-89.08863,81.23770491803279,-0.9834918028018513,-0.9834918028018513,1.0
130000,1.4425557,-70.13787,82.33613445378151,-0.9798666660984358,-0.9798666660984358,1.0
140000,1.4434998,-54.875343,80.9672131147541,-0.9735655729643634,-0.9735655729643634,1.0
150000,1.445391,-42.63913,80.4308943089431,-0.9819756092094793,-0.9819756092094793,1.0
160000,1.4471076,-33.96417,82.05785123966942,-0.9756499992683529,-0.9756499992683529,1.0
170000,1.4491342,-29.815918,80.8360655737705,-0.9785655732037591,-0.9785655732037591,1.0
180000,1.4508986,-25.695421,80.9672131147541,-0.9818278683013604,-0.9818278683013604,1.0
190000,1.4518602,-20.329874,80.82786885245902,-0.9836097555916484,-0.9836097555916484,1.0
200000,1.4529184,-16.277176,79.78225806451613,-0.9852845524627019,-0.9852845524627019,1.0
210000,1.4540412,-12.9993105,79.89430894308943,-0.9756370960704742,-0.9756370960704742,1.0
220000,1.4547708,-10.280868,80.4390243902439,-0.9795447148806681,-0.9795447148806681,1.0
230000,1.4553732,-7.199678,80.82786885245902,-0.972762294296847,-0.972762294296847,1.0
240000,1.4562321,-4.500717,80.17073170731707,-0.9803495929250873,-0.9803495929250873,1.0
250000,1.4577177,-3.6359696,81.36363636363636,-0.9851803275161102,-0.9851803275161102,1.0
260000,1.4596461,-3.1676207,81.10655737704919,-0.9768688517515777,-0.9768688517515777,1.0
270000,1.4609439,-2.9533644,80.82786885245902,-0.9752540976786223,-0.9752540976786223,1.0
280000,1.4613315,-2.4382136,81.78512396694215,-0.9758925613416128,-0.9758925613416128,1.0
290000,1.4620136,-2.0759823,81.10655737704919,-0.9858842971773187,-0.9858842971773187,1.0
300000,1.4629202,-1.673456,80.68852459016394,-0.9803658530600672,-0.9803658530600672,1.0
310000,1.4630979,-1.4889066,81.24590163934427,-0.9758842966773293,-0.9758842966773293,1.0
320000,1.4633113,-1.2131115,80.68852459016394,-0.9697235763921002,-0.9697235763921002,1.0
330000,1.4634529,-1.0556284,80.70731707317073,-0.9818606552530508,-0.9818606552530508,1.0
340000,1.463699,-0.9232078,80.17073170731707,-0.9779024384007221,-0.9779024384007221,1.0
350000,1.4639723,-0.86815816,82.19166666666666,-0.9799834704719299,-0.9799834704719299,1.0
360000,1.4642961,-0.85410804,81.50413223140495,-0.9833884293382819,-0.9833884293382819,1.0
370000,1.464455,-0.7941496,79.91935483870968,-0.9762764220557562,-0.9762764220557562,1.0
380000,1.4648634,-0.7708779,81.23140495867769,-0.9793934420850433,-0.9793934420850433,1.0
390000,1.4643937,-0.7997204,81.09836065573771,-0.9810163928959214,-0.9810163928959214,1.0
400000,1.465701,-0.69593346,80.4390243902439,-0.9836341458849791,-0.9836341458849791,1.0
410000,1.4661217,-0.7376441,80.16260162601625,-0.9787154465429182,-0.9787154465429182,1.0
420000,1.4664494,-0.6773742,81.64462809917356,-0.9791900819737064,-0.9791900819737064,1.0
430000,1.4672692,-0.69859165,81.51639344262296,-0.9816859498743183,-0.9816859498743183,1.0
440000,1.4677894,-0.62077,81.0909090909091,-0.9711065565342786,-0.9711065565342786,1.0
450000,1.4681932,-0.6762777,81.24590163934427,-0.9758512389438212,-0.9758512389438212,1.0
460000,1.4685886,-0.62713873,81.23140495867769,-0.9793688518712755,-0.9793688518712755,1.0
470000,1.4688691,-0.6305499,81.23770491803279,-0.9785327861909984,-0.9785327861909984,1.0
480000,1.4690228,-0.7247632,81.23770491803279,-0.9775537184077846,-0.9775537184077846,1.0
490000,1.4690971,-0.6704548,81.09917355371901,-0.9810081961579987,-0.9810081961579987,1.0
500000,1.4691149,-0.55435526,81.77685950413223,-0.9800495862468215,-0.9800495862468215,1.0
