Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,41.8974358974359,-325.58862,3.217733679922865,3.217733679922865,1.0
20000,1.4194379,42.43478260869565,-227.71999,3.2762128425681074,3.2762128425681074,1.0
30000,1.4227338,42.32900432900433,-137.30743,3.255129639720504,3.255129639720504,1.0
40000,1.4248917,41.974137931034484,-88.55938,3.2178316732932783,3.2178316732932783,1.0
50000,1.4268777,41.76068376068376,-62.59198,3.1932476341214953,3.1932476341214953,1.0
60000,1.4283426,43.763392857142854,-48.120487,3.4064239135810306,3.4064239135810306,1.0
70000,1.430829,42.285714285714285,-39.177517,3.2533634132121034,3.2533634132121034,1.0
80000,1.4326627,42.16450216450217,-34.382923,3.2408179215022495,3.2408179215022495,1.0
90000,1.4350153,42.59130434782609,-30.745047,3.283617183436518,3.283617183436518,1.0
100000,1.4384053,41.892703862660944,-28.646606,3.214274424851708,3.214274424851708,1.0
110000,1.4402504,44.45454545454545,-25.388395,3.466481623866341,3.466481623866341,1.0
120000,1.4431963,43.08370044052864,-22.9183,3.334924901634586,3.334924901634586,1.0
130000,1.4473015,41.952789699570815,-14.002592,3.2173044814572314,3.2173044814572314,1.0
140000,1.4505614,42.095238095238095,-8.906532,3.2395019438359642,3.2395019438359642,1.0
150000,1.4532609,42.047210300429185,-6.896606,3.234450426224475,3.234450426224475,1.0
160000,1.4575958,41.952789699570815,-4.4086094,3.221969709887525,3.221969709887525,1.0
170000,1.461971,41.91416309012875,-2.1032176,3.2112529615475895,3.2112529615475895,1.0
180000,1.4649391,41.91416309012875,-1.0522608,3.213411783455779,3.213411783455779,1.0
190000,1.4669898,42.0301724137931,-0.8775086,3.2242454423986633,3.2242454423986633,1.0
200000,1.4682485,42.482608695652175,-0.1351899,3.2779258510340816,3.2779258510340816,1.0
210000,1.4688029,42.26406926406926,0.63033473,3.2516188249959574,3.2516188249959574,1.0
220000,1.4698514,41.75213675213675,0.9363201,3.192008314988552,3.192008314988552,1.0
230000,1.4713763,41.77777777777778,1.1121008,3.203093792638208,3.203093792638208,1.0
240000,1.4717724,41.91416309012875,1.1383324,3.216433241643619,3.216433241643619,1.0
250000,1.4714538,41.81545064377682,1.1609864,3.2018152224659406,3.2018152224659406,1.0
260000,1.4712672,42.46521739130435,1.2809341,3.2705693317496256,3.2705693317496256,1.0
270000,1.4709657,42.06437768240343,1.2642314,3.2396006164632642,3.2396006164632642,1.0
280000,1.4703989,41.8068669527897,1.2685652,3.205695044840866,3.205695044840866,1.0
290000,1.4697621,41.9656652360515,1.2477721,3.2198366924416866,3.2198366924416866,1.0
300000,1.4688574,41.65384615384615,1.2119694,3.183897216095884,3.183897216095884,1.0
310000,1.468194,41.87179487179487,1.2340158,3.217196337178222,3.217196337178222,1.0
320000,1.4679462,41.51063829787234,1.2147624,3.1775614525409455,3.1775614525409455,1.0
330000,1.4683125,41.46382978723404,1.2110354,3.1634976579787883,3.1634976579787883,1.0
340000,1.4686894,41.56170212765957,1.1779373,3.1813997968714287,3.1813997968714287,1.0
350000,1.4683589,42.293103448275865,1.2038934,3.259642030658393,3.259642030658393,1.0
360000,1.4681454,41.72532188841202,1.1934584,3.20013282432065,3.20013282432065,1.0
370000,1.4685658,42.41558441558441,1.1998816,3.267211927479996,3.267211927479996,1.0
380000,1.4687276,41.94420600858369,1.1671523,3.216454735129688,3.216454735129688,1.0
390000,1.4688021,41.623931623931625,1.1920515,3.189012595730969,3.189012595730969,1.0
400000,1.4690113,41.52765957446808,1.1554857,3.1877487182617186,3.1877487182617186,1.0
410000,1.4689137,41.75213675213675,1.1671143,3.1996835531332555,3.1996835531332555,1.0
420000,1.4688863,42.03862660944206,1.1545639,3.2223860501219788,3.2223860501219788,1.0
430000,1.4687808,42.22943722943723,1.1481949,3.2464196950326234,3.2464196950326234,1.0
440000,1.4685677,41.67094017094017,1.0978633,3.18730743522318,3.18730743522318,1.0
450000,1.4684812,42.1551724137931,1.1591628,3.2458488879532648,3.2458488879532648,1.0
460000,1.468384,41.666666666666664,1.1411115,3.1941279865737653,3.1941279865737653,1.0
470000,1.4682633,41.75213675213675,1.1378946,3.1971621686576777,3.1971621686576777,1.0
480000,1.4681906,41.88412017167382,1.137946,3.2181414289024253,3.2181414289024253,1.0
490000,1.4681823,42.37229437229437,1.1422293,3.2676750695034538,3.2676750695034538,1.0
500000,1.4682078,42.150862068965516,1.1325958,3.2332842637752663,3.2332842637752663,1.0
