Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,42.82532751091703,354.67743,3.3040392409291184,3.3040392409291184,1.0
20000,1.422287,42.060344827586206,315.67862,3.234159266126567,3.234159266126567,1.0
30000,1.4254007,41.51063829787234,232.8628,3.178386995640207,3.178386995640207,1.0
40000,1.4260553,41.987124463519315,183.07672,3.2271757228180062,3.2271757228180062,1.0
50000,1.4269452,41.927038626609445,158.98306,3.2233044855584403,3.2233044855584403,1.0
60000,1.4288833,41.8412017167382,147.20789,3.2112358056424513,3.2112358056424513,1.0
70000,1.4304408,42.150862068965516,137.72574,3.244542864889934,3.244542864889934,1.0
80000,1.431291,42.116379310344826,131.73782,3.2315989393612434,3.2315989393612434,1.0
90000,1.4327934,41.918454935622314,108.31312,3.224583476398124,3.224583476398124,1.0
100000,1.4352267,42.0301724137931,101.76641,3.2281333701363923,3.2281333701363923,1.0
110000,1.4370087,42.13793103448276,83.90418,3.2466506382514693,3.2466506382514693,1.0
120000,1.4389517,41.73076923076923,65.03984,3.198435670290238,3.198435670290238,1.0
130000,1.440444,42.125,49.63406,3.235456715370047,3.235456715370047,1.0
140000,1.441524,41.49787234042553,30.978401,3.175433803111949,3.175433803111949,1.0
150000,1.4427183,42.116379310344826,20.7533,3.233732546197957,3.233732546197957,1.0
160000,1.4439704,41.957081545064376,16.145864,3.2194418293212106,3.2194418293212106,1.0
170000,1.4451051,41.896995708154506,10.726102,3.2198710308566114,3.2198710308566114,1.0
180000,1.4446398,41.71367521367522,7.586505,3.197974130638644,3.197974130638644,1.0
190000,1.4436313,42.517391304347825,6.379141,3.2705041584761245,3.2705041584761245,1.0
200000,1.4434404,42.00431034482759,5.2171955,3.2255730649520613,3.2255730649520613,1.0
210000,1.4434577,42.02145922746781,4.8254623,3.231428927106407,3.231428927106407,1.0
220000,1.4434125,42.53478260869565,4.8420005,3.28052586161572,3.28052586161572,1.0
230000,1.4433929,41.58119658119658,4.8390937,3.1731450863373585,3.1731450863373585,1.0
240000,1.4434359,42.16379310344828,4.8670244,3.2410644241448106,3.2410644241448106,1.0
250000,1.4434583,42.168103448275865,4.824899,3.2445170098337632,3.2445170098337632,1.0
260000,1.4433835,42.268398268398265,4.83026,3.255116641263425,3.255116641263425,1.0
270000,1.4432992,42.13793103448276,4.7890644,3.240176510194252,3.240176510194252,1.0
280000,1.4432229,42.37391304347826,4.7134414,3.26444761649422,3.26444761649422,1.0
290000,1.4431201,42.07327586206897,4.647547,3.2354566732357286,3.2354566732357286,1.0
300000,1.4430336,41.914529914529915,4.5769577,3.2133715723314857,3.2133715723314857,1.0
310000,1.4430507,41.94396551724138,4.2515635,3.224236857274483,3.224236857274483,1.0
320000,1.4430783,42.168103448275865,4.2298174,3.2328402924126594,3.2328402924126594,1.0
330000,1.4431038,42.316017316017316,4.2422323,3.257255181605682,3.257255181605682,1.0
340000,1.4431114,41.88412017167382,4.212642,3.2082229591746185,3.2082229591746185,1.0
350000,1.4430482,41.74786324786325,4.097022,3.2005083163579306,3.2005083163579306,1.0
360000,1.4430482,41.892703862660944,3.1633756,3.214274469874959,3.214274469874959,1.0
370000,1.443043,41.98283261802575,2.5695276,3.2190126728090607,3.2190126728090607,1.0
380000,1.4430205,42.077586206896555,2.464799,3.2337368469813774,3.2337368469813774,1.0
390000,1.4430205,42.4,2.3954403,3.256199780754421,3.256199780754421,1.0
400000,1.4429493,41.705128205128204,2.3837495,3.1966792446935277,3.1966792446935277,1.0
410000,1.4429417,42.27155172413793,2.1851492,3.2604739296025245,3.2604739296025245,1.0
420000,1.4429611,42.18181818181818,2.226119,3.2412162425714137,3.2412162425714137,1.0
430000,1.4429268,41.470338983050844,2.0898068,3.1691862314434376,3.1691862314434376,1.0
440000,1.4429203,42.01293103448276,2.0459347,3.231154914559989,3.231154914559989,1.0
450000,1.4429426,42.38528138528139,1.9041829,3.2576838117657285,3.2576838117657285,1.0
460000,1.442929,41.918454935622314,1.8066033,3.224622063370733,3.224622063370733,1.0
470000,1.4429241,42.21645021645022,1.6604526,3.2447313756653755,3.2447313756653755,1.0
480000,1.4429183,42.01716738197425,1.5983626,3.2289053442140507,3.2289053442140507,1.0
490000,1.442909,41.97844827586207,1.5453352,3.221650654899663,3.221650654899663,1.0
500000,1.4429102,42.07327586206897,1.5119816,3.230249764590428,3.230249764590428,1.0
