Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,46.278301886792455,-108.041695,3.639265287543925,3.639265287543925,1.0
20000,1.4250158,42.391304347826086,-67.79358,3.261204192949378,3.261204192949378,1.0
30000,1.4303707,41.90557939914163,-51.917248,3.2026564696316044,3.2026564696316044,1.0
40000,1.4346352,41.80769230769231,-46.1654,3.1990425306507664,3.1990425306507664,1.0
50000,1.437228,41.927038626609445,-23.680412,3.2130169674050655,3.2130169674050655,1.0
60000,1.4401331,42.133620689655174,-12.741724,3.232667905503306,3.232667905503306,1.0
70000,1.4408367,41.86695278969957,-6.8930144,3.1955877997844517,3.1955877997844517,1.0
80000,1.44264,41.93133047210301,-2.9848793,3.218815271434866,3.218815271434866,1.0
90000,1.4459733,42.34632034632035,-1.2012786,3.2468829361391274,3.2468829361391274,1.0
100000,1.4478551,41.93133047210301,0.83624315,3.208214383268561,3.208214383268561,1.0
110000,1.4478616,41.93562231759657,1.3761945,3.2149139791087533,3.2149139791087533,1.0
120000,1.449701,41.862660944206006,0.96578884,3.200991229437963,3.200991229437963,1.0
130000,1.4515573,42.168103448275865,0.90547216,3.237223982810974,3.237223982810974,1.0
140000,1.452157,41.892703862660944,1.445658,3.203102829118655,3.203102829118655,1.0
150000,1.4523847,42.34347826086957,1.5564779,3.2566215608430946,3.2566215608430946,1.0
160000,1.4529188,42.06437768240343,1.5401567,3.219875368437542,3.219875368437542,1.0
170000,1.4536155,42.0,1.0231552,3.2141377761446197,3.2141377761446197,1.0
180000,1.4541796,42.25108225108225,1.1778104,3.238614522017442,3.238614522017442,1.0
190000,1.4547085,41.62978723404255,1.3788955,3.187599821293608,3.187599821293608,1.0
200000,1.455032,41.96995708154506,1.3004756,3.2123431617098306,3.2123431617098306,1.0
210000,1.4552301,41.5063829787234,1.822653,3.1637232161582785,3.1637232161582785,1.0
220000,1.4555527,41.6,2.4468977,3.1741317241749867,3.1741317241749867,1.0
230000,1.4558898,41.832618025751074,2.3293924,3.1960556138738543,3.1960556138738543,1.0
240000,1.4561139,42.189655172413794,1.8680189,3.2401894896194854,3.2401894896194854,1.0
250000,1.4563203,41.84549356223176,1.7218088,3.200798103226101,3.200798103226101,1.0
260000,1.4568388,41.62978723404255,1.8318417,3.1781827754162726,3.1781827754162726,1.0
270000,1.4574326,41.858369098712444,1.5282989,3.2037379925854728,3.2037379925854728,1.0
280000,1.4581194,41.5531914893617,1.3782016,3.1675827614804533,3.1675827614804533,1.0
290000,1.4584383,42.298701298701296,1.3571638,3.241900228318714,3.241900228318714,1.0
300000,1.4595146,41.794871794871796,1.6176032,3.1969015017533913,3.1969015017533913,1.0
310000,1.4601007,41.92274678111588,1.3924338,3.210175767988606,3.210175767988606,1.0
320000,1.4611529,42.268398268398265,1.4230105,3.238653479200421,3.238653479200421,1.0
330000,1.4624888,42.07327586206897,1.4441766,3.227719627577683,3.227719627577683,1.0
340000,1.4631737,42.303030303030305,1.3497397,3.2395236275412818,3.2395236275412818,1.0
350000,1.4642859,41.623931623931625,1.4905242,3.1731835552769847,3.1731835552769847,1.0
360000,1.4648856,42.125,1.6643813,3.2348101529581794,3.2348101529581794,1.0
370000,1.4653498,42.23275862068966,1.5114936,3.239292951493428,3.239292951493428,1.0
380000,1.4666772,41.81115879828326,1.5583994,3.1967036478509208,3.1967036478509208,1.0
390000,1.4675689,41.88412017167382,1.5945958,3.2059268470485836,3.2059268470485836,1.0
400000,1.4688299,41.36864406779661,1.545283,3.156457421133074,3.156457421133074,1.0
410000,1.4701669,42.133620689655174,1.3377752,3.2298748092404725,3.2298748092404725,1.0
420000,1.4709365,41.470338983050844,1.3743501,3.1681015127796237,3.1681015127796237,1.0
430000,1.4715933,42.125,1.3272055,3.2255386216887114,3.2255386216887114,1.0
440000,1.4723955,41.92274678111588,1.3513579,3.208677922195631,3.208677922195631,1.0
450000,1.4726074,41.9698275862069,1.3967372,3.2082972279910384,3.2082972279910384,1.0
460000,1.4727709,41.93562231759657,1.4147551,3.208463313753513,3.208463313753513,1.0
470000,1.47279,42.072961373390555,1.4797127,3.2211285527683633,3.2211285527683633,1.0
480000,1.4727304,41.34893617021277,1.453995,3.1543317510726605,3.1543317510726605,1.0
490000,1.4726732,42.09012875536481,1.4011456,3.2215749071391357,3.2215749071391357,1.0
500000,1.4726474,41.88412017167382,1.3883028,3.202029839094105,3.202029839094105,1.0
