Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,46.44549763033175,125.643715,3.6725331715175082,3.6725331715175082,1.0
20000,1.4216685,41.76923076923077,77.66539,3.2065083460930066,3.2065083460930066,1.0
30000,1.4243312,42.172413793103445,76.79624,3.247111857965075,3.247111857965075,1.0
40000,1.4263371,42.38260869565217,59.136055,3.257491073401078,3.257491073401078,1.0
50000,1.4273019,45.486111111111114,31.205246,3.56910628301126,3.56910628301126,1.0
60000,1.4299356,44.38181818181818,15.561844,3.4660134499723263,3.4660134499723263,1.0
70000,1.4324048,42.74122807017544,13.0184355,3.30537256964466,3.30537256964466,1.0
80000,1.4334866,42.00429184549356,12.158439,3.2185792186229527,3.2185792186229527,1.0
90000,1.4366908,42.26406926406926,13.06061,3.251190253666469,3.251190253666469,1.0
100000,1.4392256,41.85407725321888,10.367454,3.2056779134938647,3.2056779134938647,1.0
110000,1.4442567,42.35930735930736,8.782875,3.271095002368415,3.271095002368415,1.0
120000,1.449761,42.24242424242424,7.990634,3.2576880867863114,3.2576880867863114,1.0
130000,1.4542272,42.42173913043478,7.847986,3.2657606415126637,3.2657606415126637,1.0
140000,1.4594463,41.84615384615385,7.847153,3.2112561902429304,3.2112561902429304,1.0
150000,1.4637687,41.98706896551724,7.1468043,3.220387733188169,3.220387733188169,1.0
160000,1.4658747,41.85470085470085,6.199757,3.203957044161283,3.203957044161283,1.0
170000,1.4685608,41.871244635193136,4.5449142,3.2069611539144884,3.2069611539144884,1.0
180000,1.4706174,41.918454935622314,2.2291024,3.2069654341930995,3.2069654341930995,1.0
190000,1.4716725,41.232067510548525,1.2493857,3.148666396925721,3.148666396925721,1.0
200000,1.4722269,41.93133047210301,1.282987,3.217725091737739,3.217725091737739,1.0
210000,1.4725366,41.927038626609445,1.3050051,3.218128543043341,3.218128543043341,1.0
220000,1.4737005,42.13793103448276,1.2200004,3.2479739219977937,3.2479739219977937,1.0
230000,1.4747413,42.45652173913044,1.185094,3.27447800428971,3.27447800428971,1.0
240000,1.4750501,41.97844827586207,1.1466976,3.2264221762788705,3.2264221762788705,1.0
250000,1.4751215,42.02145922746781,1.1696751,3.226291642168561,3.226291642168561,1.0
260000,1.4749281,41.78969957081545,1.381743,3.201819494558506,3.201819494558506,1.0
270000,1.4752306,41.76923076923077,1.3118554,3.2009485134711633,3.2009485134711633,1.0
280000,1.4754556,41.93562231759657,1.2567316,3.2263045065392753,3.2263045065392753,1.0
290000,1.4750752,41.65531914893617,1.5404756,3.1877657565664737,3.1877657565664737,1.0
300000,1.4744879,41.956896551724135,1.6508473,3.2225342711498,3.2225342711498,1.0
310000,1.4737557,41.89316239316239,1.6748091,3.2129655943976507,3.2129655943976507,1.0
320000,1.4730152,41.90128755364807,1.6277982,3.2181456743903425,3.2181456743903425,1.0
330000,1.4727592,41.4468085106383,1.5539498,3.1673401944180752,3.1673401944180752,1.0
340000,1.472631,41.90557939914163,1.8464888,3.215596328989119,3.215596328989119,1.0
350000,1.4727614,41.76923076923077,1.8838334,3.2155253978875966,3.2155253978875966,1.0
360000,1.4729639,41.79059829059829,1.8853008,3.204388660243434,3.204388660243434,1.0
370000,1.473184,42.00431034482759,1.8328869,3.222960978746414,3.222960978746414,1.0
380000,1.4736427,41.59574468085106,1.7444773,3.186067863220864,3.186067863220864,1.0
390000,1.4738659,42.23376623376623,1.5892936,3.242965131611019,3.242965131611019,1.0
400000,1.4737504,41.99570815450644,1.6610042,3.224557709796234,3.224557709796234,1.0
410000,1.4732795,42.064655172413794,1.552054,3.2273014794135917,3.2273014794135917,1.0
420000,1.4732013,42.03862660944206,1.540148,3.2232830258398097,3.2232830258398097,1.0
430000,1.4731169,42.09051724137931,1.5018374,3.2371765015454126,3.2371765015454126,1.0
440000,1.4729416,42.277056277056275,1.5284904,3.2533547661521216,3.2533547661521216,1.0
450000,1.4727273,42.26406926406926,1.5260068,3.248597199782665,3.248597199782665,1.0
460000,1.4725137,41.45338983050848,1.5128934,3.164944696224342,3.164944696224342,1.0
470000,1.4724365,42.077586206896555,1.4957241,3.234581691437754,3.234581691437754,1.0
480000,1.4723424,41.90557939914163,1.4584419,3.2103989124298096,3.2103989124298096,1.0
490000,1.4722643,41.991379310344826,1.5011892,3.225555807352066,3.225555807352066,1.0
500000,1.4722295,42.06896551724138,1.4790452,3.2302842469050965,3.2302842469050965,1.0
