Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,502.6935,83.04201680672269,-0.8447372853377108,-0.8447372853377108,1.0
20000,1.4219813,436.9771,81.64462809917356,-0.8321322283961556,-0.8321322283961556,1.0
30000,1.4245456,386.87985,81.36363636363636,-0.8269590135724818,-0.8269590135724818,1.0
40000,1.4266354,331.17346,81.24590163934427,-0.8337272703647614,-0.8337272703647614,1.0
50000,1.4272501,273.27182,80.55737704918033,-0.8332032491642285,-0.8332032491642285,1.0
60000,1.4282626,231.99144,81.91735537190083,-0.8213553686033596,-0.8213553686033596,1.0
70000,1.42952,186.06262,81.23770491803279,-0.8287603279406374,-0.8287603279406374,1.0
80000,1.4314592,152.91354,80.42622950819673,-0.8404796723791255,-0.8404796723791255,1.0
90000,1.4322773,120.54813,81.64462809917356,-0.8246859470305364,-0.8246859470305364,1.0
100000,1.434475,100.89728,81.23770491803279,-0.8327131118686473,-0.8327131118686473,1.0
110000,1.4371781,80.05559,79.91129032258064,-0.8307154445749957,-0.8307154445749957,1.0
120000,1.4390639,67.06616,81.23140495867769,-0.8252786857182862,-0.8252786857182862,1.0
130000,1.4418538,53.682934,80.4390243902439,-0.8413170702089139,-0.8413170702089139,1.0
140000,1.443602,43.40659,80.4390243902439,-0.8449590140190281,-0.8449590140190281,1.0
150000,1.4458948,34.570724,80.4308943089431,-0.83318698921097,-0.83318698921097,1.0
160000,1.4485557,27.39257,81.37190082644628,-0.8343114729543202,-0.8343114729543202,1.0
170000,1.4512433,22.238825,80.82786885245902,-0.8351311445480487,-0.8351311445480487,1.0
180000,1.4532073,17.18923,82.33333333333333,-0.8198416639119387,-0.8198416639119387,1.0
190000,1.4555845,13.199486,80.8360655737705,-0.8417377021224772,-0.8417377021224772,1.0
200000,1.4577197,10.219732,81.50819672131148,-0.8312809891567743,-0.8312809891567743,1.0
210000,1.4585578,7.89739,80.9672131147541,-0.8277049156241729,-0.8277049156241729,1.0
220000,1.4597553,6.1748705,80.9672131147541,-0.8367131120357357,-0.8367131120357357,1.0
230000,1.4608094,5.191469,80.17073170731707,-0.8176829241276756,-0.8176829241276756,1.0
240000,1.4614495,4.3010354,80.02439024390245,-0.8353709649414786,-0.8353709649414786,1.0
250000,1.4623817,3.8154407,81.10655737704919,-0.8285573744138733,-0.8285573744138733,1.0
260000,1.4637567,3.3271925,82.33333333333333,-0.8265666634465257,-0.8265666634465257,1.0
270000,1.4649998,2.690072,80.5691056910569,-0.8474344237417472,-0.8474344237417472,1.0
280000,1.4659445,1.9013199,80.30081300813008,-0.8412845503023969,-0.8412845503023969,1.0
290000,1.4667209,1.6535553,80.03252032520325,-0.8442499974081593,-0.8442499974081593,1.0
300000,1.4677652,1.2309641,82.33333333333333,-0.8190583302949865,-0.8190583302949865,1.0
310000,1.4688143,0.67802393,81.37190082644628,-0.8246115682538876,-0.8246115682538876,1.0
320000,1.4692594,0.30557358,80.9672131147541,-0.8302049151942378,-0.8302049151942378,1.0
330000,1.469657,0.09167861,81.09836065573771,-0.8449754070063107,-0.8449754070063107,1.0
340000,1.470089,-0.06670294,82.05785123966942,-0.8256999973207713,-0.8256999973207713,1.0
350000,1.4709598,-0.35602382,80.55737704918033,-0.828325200008183,-0.828325200008183,1.0
360000,1.4714787,-0.38168696,81.37704918032787,-0.8246694177019694,-0.8246694177019694,1.0
370000,1.4712937,-0.43787733,81.37190082644628,-0.8293852435394389,-0.8293852435394389,1.0
