Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-102.922775,85.66956521739131,-0.8424521707322287,-0.8424521707322287,1.0
20000,1.4223884,-80.80783,81.37704918032787,-0.8378677661261282,-0.8378677661261282,1.0
30000,1.4228147,-63.886482,81.51239669421487,-0.8230247902106648,-0.8230247902106648,1.0
40000,1.4252453,-64.61111,85.6608695652174,-0.8325862039265961,-0.8325862039265961,1.0
50000,1.427327,-58.431442,85.81739130434782,-0.8372434743072675,-0.8372434743072675,1.0
60000,1.4285815,-51.303734,81.37704918032787,-0.8370247907505548,-0.8370247907505548,1.0
70000,1.4308298,-41.641518,81.50413223140495,-0.8392622924608285,-0.8392622924608285,1.0
80000,1.4313705,-38.36972,80.30081300813008,-0.8446178836066548,-0.8446178836066548,1.0
90000,1.43299,-25.901758,81.37190082644628,-0.8353884275540833,-0.8353884275540833,1.0
100000,1.435973,-19.317608,81.09836065573771,-0.8351147512554146,-0.8351147512554146,1.0
110000,1.4375383,-17.746513,81.78512396694215,-0.8180165258813495,-0.8180165258813495,1.0
120000,1.4393969,-16.106215,81.5,-0.8304958646455087,-0.8304958646455087,1.0
130000,1.4438088,-12.812694,81.09836065573771,-0.8202704886798976,-0.8202704886798976,1.0
140000,1.446069,-10.649892,81.92561983471074,-0.8190416629736622,-0.8190416629736622,1.0
150000,1.4471724,-10.057476,82.05,-0.844504129541807,-0.844504129541807,1.0
160000,1.4490529,-8.414042,84.33333333333333,-0.8297093993960283,-0.8297093993960283,1.0
170000,1.4522268,-7.29613,84.77586206896552,-0.8511709379844177,-0.8511709379844177,1.0
180000,1.4561776,-6.8538737,85.35344827586206,-0.8593189629629768,-0.8593189629629768,1.0
190000,1.4593778,-6.302319,84.75213675213675,-0.851551721579042,-0.851551721579042,1.0
200000,1.4619733,-4.634347,83.46610169491525,-0.8704705855676106,-0.8704705855676106,1.0
210000,1.4645193,-2.7623525,83.03361344537815,-0.8578823502449429,-0.8578823502449429,1.0
220000,1.4664809,-1.0849568,83.17647058823529,-0.8456101669472152,-0.8456101669472152,1.0
230000,1.4674376,1.0528237,83.60169491525424,-0.8485882327336223,-0.8485882327336223,1.0
240000,1.467929,1.889917,84.75213675213675,-0.8368965488184115,-0.8368965488184115,1.0
250000,1.4688206,2.3252249,83.7457627118644,-0.850745759714963,-0.850745759714963,1.0
260000,1.4696363,2.032144,83.61016949152543,-0.845584742661755,-0.845584742661755,1.0
270000,1.4708916,1.1463734,83.60169491525424,-0.8452016780732059,-0.8452016780732059,1.0
280000,1.4722824,1.150763,82.60833333333333,-0.8611596617378107,-0.8611596617378107,1.0
290000,1.4736154,1.8920901,83.61016949152543,-0.8600423702244031,-0.8600423702244031,1.0
300000,1.4741385,1.6343317,83.60169491525424,-0.8713109219024161,-0.8713109219024161,1.0
310000,1.4743505,0.87190753,84.47008547008546,-0.845136750011872,-0.845136750011872,1.0
320000,1.4745469,0.63672936,84.61538461538461,-0.8567586178281184,-0.8567586178281184,1.0
330000,1.4746436,0.70498097,83.60169491525424,-0.8612016786296829,-0.8612016786296829,1.0
340000,1.4745381,0.67476135,83.88983050847457,-0.8331794837473804,-0.8331794837473804,1.0
350000,1.4740885,0.67163473,83.88135593220339,-0.8600169469491911,-0.8600169469491911,1.0
360000,1.4738241,0.6883533,83.90598290598291,-0.8566355904785253,-0.8566355904785253,1.0
370000,1.473663,0.70185757,85.20689655172414,-0.838577583175281,-0.838577583175281,1.0
380000,1.4739488,0.52755994,84.47008547008546,-0.8485897405025287,-0.8485897405025287,1.0
390000,1.4737616,0.6276135,84.1880341880342,-0.8566440648825492,-0.8566440648825492,1.0
400000,1.4735813,0.56146437,83.46610169491525,-0.8727118622322204,-0.8727118622322204,1.0
410000,1.4733841,0.54875153,83.16806722689076,-0.8443697450541648,-0.8443697450541648,1.0
420000,1.4731611,0.85707676,84.8974358974359,-0.8489827557370581,-0.8489827557370581,1.0
430000,1.4730283,1.013153,83.46610169491525,-0.8545041989629009,-0.8545041989629009,1.0
440000,1.4729284,0.99156547,83.60169491525424,-0.8430338950859289,-0.8430338950859289,1.0
450000,1.472686,1.1799233,83.03361344537815,-0.8679243676176592,-0.8679243676176592,1.0
460000,1.472649,1.405126,83.03361344537815,-0.8637142830035266,-0.8637142830035266,1.0
470000,1.472647,1.3496166,82.75,-0.854453778880484,-0.854453778880484,1.0
480000,1.4726876,1.5549225,82.75630252100841,-0.8690583308537801,-0.8690583308537801,1.0
490000,1.4726961,1.595582,81.37190082644628,-0.8609752040510336,-0.8609752040510336,1.0
500000,1.4726871,1.576834,82.46666666666667,-0.8481916636228561,-0.8481916636228561,1.0
