Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,46.22641509433962,-121.27458,3.6503647379400608,3.6503647379400608,1.0
20000,1.420251,46.39336492890995,-77.53495,3.659355292388048,3.659355292388048,1.0
30000,1.4237497,46.43601895734597,-32.83239,3.6712272992066297,3.6712272992066297,1.0
40000,1.4236779,46.34123222748815,-21.698229,3.667440545502432,3.667440545502432,1.0
50000,1.4250841,46.63809523809524,-16.93494,3.691080770038423,3.691080770038423,1.0
60000,1.4257926,46.40758293838863,-6.648826,3.665535366365695,3.665535366365695,1.0
70000,1.4278846,46.40758293838863,-1.48911,3.6555449024760893,3.6555449024760893,1.0
80000,1.4300241,46.54761904761905,-0.6221193,3.6838902768634614,3.6838902768634614,1.0
90000,1.4311521,46.79047619047619,0.031344492,3.70585222471328,3.70585222471328,1.0
100000,1.4317521,46.49047619047619,0.96823376,3.673461738086882,3.673461738086882,1.0
110000,1.4325763,46.464454976303315,1.4077493,3.6655401369971687,3.6655401369971687,1.0
120000,1.4343024,46.39336492890995,1.4046428,3.665511698519449,3.665511698519449,1.0
130000,1.4359341,46.27014218009479,1.3166264,3.6517865646506937,3.6517865646506937,1.0
140000,1.4369714,46.16981132075472,1.0956141,3.6412262264287696,3.6412262264287696,1.0
150000,1.4366224,46.2688679245283,1.0169147,3.647306449008438,3.647306449008438,1.0
160000,1.4362577,46.3696682464455,1.1822891,3.6660471934277865,3.6660471934277865,1.0
170000,1.436331,46.41232227488152,1.3168529,3.6545637998535736,3.6545637998535736,1.0
180000,1.4365193,46.18396226415094,1.4777164,3.63593848921218,3.63593848921218,1.0
190000,1.4372739,46.15094339622642,1.5223458,3.637863035471934,3.637863035471934,1.0
200000,1.4399644,46.37440758293839,1.453399,3.666995095980676,3.666995095980676,1.0
210000,1.442394,46.542857142857144,1.4946542,3.6782379332042874,3.6782379332042874,1.0
220000,1.4426742,46.25,1.5235357,3.649646025783611,3.649646025783611,1.0
230000,1.4430999,46.46919431279621,1.4358691,3.6697675695916487,3.6697675695916487,1.0
240000,1.4447188,46.37440758293839,1.4363586,3.6579050497986128,3.6579050497986128,1.0
250000,1.4468942,46.48341232227488,1.5137002,3.6754690391757476,3.6754690391757476,1.0
260000,1.4490951,46.0377358490566,1.4071574,3.6265375749120174,3.6265375749120174,1.0
270000,1.4513274,46.43601895734597,1.5170751,3.6712036268406005,3.6712036268406005,1.0
280000,1.4516933,46.542857142857144,1.4857346,3.6824855191367014,3.6824855191367014,1.0
290000,1.4517558,46.29716981132076,1.4129523,3.6553394502063967,3.6553394502063967,1.0
300000,1.4535377,46.43333333333333,1.3613133,3.664904562632243,3.664904562632243,1.0
310000,1.4550216,46.278301886792455,1.3474019,3.656716814580953,3.656716814580953,1.0
320000,1.4562454,46.014084507042256,1.3806607,3.621694634218171,3.621694634218171,1.0
330000,1.458083,46.58571428571429,1.3716106,3.6786950815291632,3.6786950815291632,1.0
340000,1.4592423,46.33175355450237,1.3396767,3.65746901950565,3.65746901950565,1.0
350000,1.4598902,46.55238095238095,1.348553,3.686885520390102,3.686885520390102,1.0
360000,1.4602864,46.2688679245283,1.3223985,3.6482073406003557,3.6482073406003557,1.0
370000,1.4601513,46.14150943396226,1.3375065,3.6383299850068003,3.6383299850068003,1.0
380000,1.460404,46.388625592417064,1.3931988,3.6717012595226413,3.6717012595226413,1.0
390000,1.4606593,46.52132701421801,1.3960553,3.6788008020952416,3.6788008020952416,1.0
400000,1.4605427,46.42857142857143,1.3363124,3.6720617475963775,3.6720617475963775,1.0
410000,1.4602661,46.35849056603774,1.3888216,3.6500800218222276,3.6500800218222276,1.0
420000,1.4603323,46.49047619047619,1.3458211,3.676814133780343,3.676814133780343,1.0
430000,1.4604427,46.33649289099526,1.3666992,3.6584073762758083,3.6584073762758083,1.0
440000,1.4601629,46.339622641509436,1.3397788,3.6628771705447503,3.6628771705447503,1.0
450000,1.4600568,46.48571428571429,1.3232507,3.6725094000498455,3.6725094000498455,1.0
460000,1.4599961,46.43127962085308,1.3533931,3.6664311219165677,3.6664311219165677,1.0
470000,1.4599425,46.54761904761905,1.3135259,3.6835046064286003,3.6835046064286003,1.0
480000,1.4598805,46.43127962085308,1.301499,3.6626775411632955,3.6626775411632955,1.0
490000,1.45985,46.67142857142857,1.3357831,3.6954426651909236,3.6954426651909236,1.0
500000,1.4598477,46.39336492890995,1.3060967,3.655568570322335,3.655568570322335,1.0
