Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,154.94805194805195,-0.47109845,14.64802873134613,14.64802873134613,1.0
24000,1.419377,181.9848484848485,0.13187513,17.21439683076107,17.21439683076107,1.0
36000,1.4189407,195.9672131147541,0.7202568,18.62787194330184,18.62787194330184,1.0
48000,1.4259025,212.69642857142858,1.0653222,20.166967583554133,20.166967583554133,1.0
60000,1.4371083,217.19642857142858,1.5319881,20.758039346763066,20.758039346763066,1.0
72000,1.4378698,330.05555555555554,1.9850311,32.56111594041189,32.56111594041189,1.0
84000,1.44654,404.7,2.3440127,40.2833393573761,40.2833393573761,1.0
96000,1.4461216,363.27272727272725,2.6737757,36.074247894865096,36.074247894865096,1.0
108000,1.4491217,423.0357142857143,2.9431164,42.14464853491102,42.14464853491102,1.0
120000,1.4421799,378.6875,3.1879663,37.67813025414944,37.67813025414944,1.0
132000,1.4430637,376.258064516129,3.4069183,38.632263645049065,38.632263645049065,1.0
144000,1.4364418,377.0,3.7886243,36.409380316734314,36.409380316734314,1.0
156000,1.4396989,419.13793103448273,4.129795,41.94138517050907,41.94138517050907,1.0
168000,1.438511,401.48275862068965,4.4368544,39.95690235598334,39.95690235598334,1.0
180000,1.4362458,463.96153846153845,4.5264716,46.58077511420617,46.58077511420617,1.0
192000,1.4356027,453.7037037037037,4.7965183,45.45741363807961,45.45741363807961,1.0
204000,1.4363271,470.12,5.108826,47.180005950927736,47.180005950927736,1.0
216000,1.4404184,476.12,5.4232225,47.87000610351563,47.87000610351563,1.0
228000,1.4428718,483.0,5.5136247,48.48600593566894,48.48600593566894,1.0
240000,1.4444286,452.55555555555554,5.8700566,45.32408011401141,45.32408011401141,1.0
252000,1.4529119,481.0416666666667,5.963961,48.279172698656716,48.279172698656716,1.0
264000,1.4588305,499.4166666666667,6.193049,50.28750626246134,50.28750626246134,1.0
276000,1.458926,491.28,6.360245,49.44600616455078,49.44600616455078,1.0
288000,1.4568162,471.28,6.587563,47.43200622558594,47.43200622558594,1.0
300000,1.4556499,486.12,6.821794,48.878006019592284,48.878006019592284,1.0
312000,1.456373,459.38461538461536,6.887903,46.30192908873925,46.30192908873925,1.0
324000,1.4579084,486.875,7.0561433,48.97708948453268,48.97708948453268,1.0
336000,1.4609575,465.15384615384613,7.332517,46.865390924307015,46.865390924307015,1.0
348000,1.4638584,498.9166666666667,7.3670983,50.19583956400553,50.19583956400553,1.0
360000,1.4644481,464.2307692307692,7.433982,46.43654467509343,46.43654467509343,1.0
372000,1.4626304,484.84,7.672764,48.74000602722168,48.74000602722168,1.0
384000,1.4605352,486.5833333333333,7.709452,48.97292272249857,48.97292272249857,1.0
396000,1.4607121,496.5416666666667,7.8679643,50.02083953221639,50.02083953221639,1.0
408000,1.4587094,485.2,8.0369425,48.81200637817383,48.81200637817383,1.0
420000,1.4586062,482.92,7.917976,48.63000625610351,48.63000625610351,1.0
432000,1.4585019,476.12,8.150002,47.834005947113035,47.834005947113035,1.0
444000,1.4575799,496.9166666666667,8.274278,49.93333959579468,49.93333959579468,1.0
456000,1.4579052,444.7037037037037,8.284504,45.390746929027415,45.390746929027415,1.0
468000,1.4585588,471.92,8.282514,46.35200580596924,46.35200580596924,1.0
480000,1.4592297,500.0,8.388612,50.23542277018229,50.23542277018229,1.0
492000,1.458818,469.46153846153845,8.323256,47.23077504451458,47.23077504451458,1.0
