Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,125.52631578947368,-0.3085589,11.720215036513958,11.720215036513958,1.0
24000,1.4203675,145.21951219512195,0.18924578,13.766466041890586,13.766466041890586,1.0
36000,1.424589,174.28985507246378,0.66984123,16.416669728099436,16.416669728099436,1.0
48000,1.423789,202.23333333333332,1.1498222,19.705003333091735,19.705003333091735,1.0
60000,1.4260776,185.63492063492063,1.4399748,18.29047951622615,18.29047951622615,1.0
72000,1.4243747,238.54901960784315,1.7964025,23.200003969903086,23.200003969903086,1.0
84000,1.4307554,238.87755102040816,2.0460231,23.744902017165202,23.744902017165202,1.0
96000,1.432159,257.6170212765957,2.2459557,25.663834186310464,25.663834186310464,1.0
108000,1.4269273,243.6530612244898,2.5265038,24.23571847409618,24.23571847409618,1.0
120000,1.4264226,288.4146341463415,2.8397715,28.970736282627758,28.970736282627758,1.0
132000,1.4237609,269.46666666666664,2.9938269,27.125559838612876,27.125559838612876,1.0
144000,1.4205817,293.2439024390244,3.2828467,29.563419155958222,29.563419155958222,1.0
156000,1.4202276,286.9024390243902,3.5245738,28.900004433422552,28.900004433422552,1.0
168000,1.4197388,291.2439024390244,3.797677,29.34512647768346,29.34512647768346,1.0
180000,1.4212173,286.8333333333333,3.8978148,28.84048074767703,28.84048074767703,1.0
192000,1.4235922,278.2325581395349,4.157806,27.939539421436397,27.939539421436397,1.0
204000,1.4215523,284.3809523809524,4.4125767,28.62143325805664,28.62143325805664,1.0
216000,1.4187402,283.0,4.5886693,28.442861613773164,28.442861613773164,1.0
228000,1.4228123,279.30232558139534,4.8059034,28.147678918616716,28.147678918616716,1.0
240000,1.4257609,286.04761904761904,4.970005,28.83214743932088,28.83214743932088,1.0
252000,1.423078,300.55,5.1205726,30.390004539489745,30.390004539489745,1.0
264000,1.4224743,294.5,5.481369,29.867504596710205,29.867504596710205,1.0
276000,1.4221038,296.9756097560976,5.5614543,30.00366327239246,30.00366327239246,1.0
288000,1.4242191,291.0,5.7598276,29.415858140805874,29.415858140805874,1.0
300000,1.4251779,283.6190476190476,5.9663997,28.598814044679916,28.598814044679916,1.0
312000,1.4271299,296.15,6.1180663,30.038754510879517,30.038754510879517,1.0
324000,1.4274355,293.4878048780488,6.188099,29.621955778540634,29.621955778540634,1.0
336000,1.4277283,298.275,6.4139833,30.10625457763672,30.10625457763672,1.0
348000,1.4314644,293.7560975609756,6.5011315,29.61585835712712,29.61585835712712,1.0
360000,1.4331905,285.7142857142857,6.7999964,28.88214735757737,28.88214735757737,1.0
372000,1.4330211,291.5853658536585,6.7516813,29.498785042181247,29.498785042181247,1.0
384000,1.4340274,294.725,6.668561,29.802504587173463,29.802504587173463,1.0
396000,1.4339774,294.3658536585366,6.88434,29.80610207813542,29.80610207813542,1.0
408000,1.4325801,285.14285714285717,6.91525,28.83214747338068,28.83214747338068,1.0
420000,1.4321592,290.6585365853659,7.093968,29.356102047896968,29.356102047896968,1.0
432000,1.4320275,296.075,7.207353,29.91750454902649,29.91750454902649,1.0
444000,1.4315484,294.3414634146341,7.378523,29.760980199022992,29.760980199022992,1.0
456000,1.4309222,289.5121951219512,7.3901567,29.226833762192143,29.226833762192143,1.0
468000,1.430373,289.0,7.37491,29.17738540399642,29.17738540399642,1.0
480000,1.4302169,287.1463414634146,7.438563,29.484150793494248,29.484150793494248,1.0
492000,1.4304442,290.7560975609756,7.510511,28.865858147783978,28.865858147783978,1.0
