Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,648.2542,79.25,-0.8393870946019888,-0.8393870946019888,1.0
20000,1.4219624,588.32404,79.7741935483871,-0.8417661268744738,-0.8417661268744738,1.0
30000,1.4250057,576.83545,80.30081300813008,-0.8234634119562987,-0.8234634119562987,1.0
40000,1.4280448,552.5306,81.24590163934427,-0.8469586751062023,-0.8469586751062023,1.0
50000,1.4297432,535.6686,80.82786885245902,-0.8307317048916972,-0.8307317048916972,1.0
60000,1.430499,520.26605,79.78225806451613,-0.8356504036280198,-0.8356504036280198,1.0
70000,1.4328401,507.05682,80.55737704918033,-0.8356178834792075,-0.8356178834792075,1.0
80000,1.4328878,494.09552,79.0,-0.8366239977478981,-0.8366239977478981,1.0
90000,1.4334714,480.31137,79.7741935483871,-0.8393467716992863,-0.8393467716992863,1.0
100000,1.4359854,467.63052,80.4390243902439,-0.8331707293788592,-0.8331707293788592,1.0
110000,1.4372096,454.8968,78.5,-0.8430399974584579,-0.8430399974584579,1.0
120000,1.4379879,443.68774,81.36363636363636,-0.8318442596641721,-0.8318442596641721,1.0
130000,1.4383125,433.73816,80.57723577235772,-0.8318770463105107,-0.8318770463105107,1.0
140000,1.4386154,423.14624,80.30081300813008,-0.8315853632804824,-0.8315853632804824,1.0
150000,1.4401321,411.76804,80.55737704918033,-0.833211379746596,-0.833211379746596,1.0
160000,1.4417274,398.575,79.91129032258064,-0.8482822558932728,-0.8482822558932728,1.0
170000,1.4426897,385.4648,80.30081300813008,-0.8389186968163747,-0.8389186968163747,1.0
180000,1.4438376,372.05637,80.30081300813008,-0.8357073141307365,-0.8357073141307365,1.0
190000,1.4455465,357.18802,79.64516129032258,-0.8369838681913191,-0.8369838681913191,1.0
200000,1.4468143,341.51498,79.136,-0.8361774165663989,-0.8361774165663989,1.0
210000,1.4475337,325.45862,79.24193548387096,-0.8446879975795746,-0.8446879975795746,1.0
220000,1.4488466,308.7942,80.30081300813008,-0.8307154447567172,-0.8307154447567172,1.0
230000,1.4504297,291.72458,80.1774193548387,-0.8266666637567001,-0.8266666637567001,1.0
240000,1.4514077,274.68372,80.42622950819673,-0.8177235747377077,-0.8177235747377077,1.0
250000,1.4509475,257.459,80.4308943089431,-0.8421544691896051,-0.8421544691896051,1.0
260000,1.4493817,240.47545,80.17073170731707,-0.8372357701504134,-0.8372357701504134,1.0
270000,1.4496105,224.43156,79.528,-0.8498548366009228,-0.8498548366009228,1.0
280000,1.4505736,208.74716,80.69672131147541,-0.8347886156260482,-0.8347886156260482,1.0
290000,1.4528232,193.58046,81.10655737704919,-0.8205123935972364,-0.8205123935972364,1.0
300000,1.455663,178.70079,80.02439024390245,-0.8313306427650875,-0.8313306427650875,1.0
310000,1.4564458,164.73048,79.0,-0.8502799975275993,-0.8502799975275993,1.0
320000,1.4574106,151.60162,81.10655737704919,-0.8351229482986888,-0.8351229482986888,1.0
330000,1.4592131,139.02411,80.4390243902439,-0.8269262266818618,-0.8269262266818618,1.0
340000,1.4610304,126.94495,80.02439024390245,-0.8361370942645496,-0.8361370942645496,1.0
350000,1.4625065,116.072845,79.272,-0.8498790296575716,-0.8498790296575716,1.0
360000,1.463763,105.60363,80.16260162601625,-0.8401774169817087,-0.8401774169817087,1.0
370000,1.4644854,96.07998,79.264,-0.8417580622819162,-0.8417580622819162,1.0
380000,1.4647305,87.132645,80.03252032520325,-0.8320967716675612,-0.8320967716675612,1.0
390000,1.4648303,78.7235,79.50806451612904,-0.8515161265649142,-0.8515161265649142,1.0
400000,1.4648575,71.41512,79.51612903225806,-0.8385887073292848,-0.8385887073292848,1.0
410000,1.4651331,64.83066,79.51612903225806,-0.8402338684085877,-0.8402338684085877,1.0
420000,1.4653515,58.758106,80.02439024390245,-0.8474758043885231,-0.8474758043885231,1.0
430000,1.4653449,53.494877,79.78225806451613,-0.8483387070197251,-0.8483387070197251,1.0
440000,1.4654909,48.88007,79.50806451612904,-0.8426451586307057,-0.8426451586307057,1.0
450000,1.4656298,45.012733,80.70731707317073,-0.8326475385759697,-0.8326475385759697,1.0
460000,1.4656751,41.70419,79.51612903225806,-0.8297661256886297,-0.8297661256886297,1.0
470000,1.4656742,39.094788,79.0,-0.8503119974732399,-0.8503119974732399,1.0
480000,1.465612,37.15934,79.7741935483871,-0.8377822557043645,-0.8377822557043645,1.0
490000,1.46559,35.726933,80.17073170731707,-0.8388699162297133,-0.8388699162297133,1.0
500000,1.4655737,34.82077,80.55737704918033,-0.8348211360171558,-0.8348211360171558,1.0
