Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-145.77289,82.2,-0.9831999994814395,-0.9831999994814395,1.0
20000,1.4217591,-106.25969,80.9672131147541,-0.984311474945213,-0.984311474945213,1.0
30000,1.4232987,-108.83579,81.10655737704919,-0.9766611562780112,-0.9766611562780112,1.0
40000,1.4245281,-102.37567,80.02439024390245,-0.9853870963617679,-0.9853870963617679,1.0
50000,1.4257946,-96.284454,80.70731707317073,-0.9793770486091982,-0.9793770486091982,1.0
60000,1.4303157,-81.51951,80.17073170731707,-0.9844227637338444,-0.9844227637338444,1.0
70000,1.4317641,-75.588165,81.64462809917356,-0.9783388423032997,-0.9783388423032997,1.0
80000,1.4329536,-75.395645,80.4308943089431,-0.9836178856894253,-0.9836178856894253,1.0
90000,1.4341545,-70.80907,80.9672131147541,-0.9785655732037591,-0.9785655732037591,1.0
100000,1.4357562,-70.39938,79.89430894308943,-0.982935483357118,-0.982935483357118,1.0
110000,1.4415054,-61.370483,80.70731707317073,-0.9834754093260062,-0.9834754093260062,1.0
120000,1.4466658,-54.915726,79.64516129032258,-0.9845645156719031,-0.9845645156719031,1.0
130000,1.44783,-45.69406,81.09917355371901,-0.9769180321791133,-0.9769180321791133,1.0
140000,1.4493928,-38.02061,81.09836065573771,-0.9818360650392829,-0.9818360650392829,1.0
150000,1.4521563,-31.962149,82.475,-0.9823666661356886,-0.9823666661356886,1.0
160000,1.4541645,-29.418465,80.9672131147541,-0.9769016387032681,-0.9769016387032681,1.0
170000,1.456105,-28.271904,81.23770491803279,-0.9841983466724719,-0.9841983466724719,1.0
180000,1.4592459,-26.978231,81.51239669421487,-0.974231404337016,-0.974231404337016,1.0
190000,1.4634233,-23.82855,80.9672131147541,-0.9735491793053072,-0.9735491793053072,1.0
200000,1.4669055,-19.695587,80.68852459016394,-0.9779512189873835,-0.9779512189873835,1.0
210000,1.4681764,-17.01989,82.2,-0.9748083325723808,-0.9748083325723808,1.0
220000,1.468192,-15.140781,82.75,-0.980529411187192,-0.980529411187192,1.0
230000,1.4682077,-14.102605,82.46666666666667,-0.9815333327899377,-0.9815333327899377,1.0
240000,1.4682076,-13.378088,80.9672131147541,-0.9769016386421977,-0.9769016386421977,1.0
250000,1.4681972,-12.702583,79.24193548387096,-0.981495999455452,-0.981495999455452,1.0
260000,1.4681897,-12.416466,81.37704918032787,-0.9808595036425867,-0.9808595036425867,1.0
270000,1.4681982,-12.095815,80.8360655737705,-0.980983605944231,-0.980983605944231,1.0
280000,1.4682037,-11.775049,81.09836065573771,-0.9785163927762235,-0.9785163927762235,1.0
290000,1.4682025,-11.782438,82.2,-0.9848916662236055,-0.9848916662236055,1.0
300000,1.4682026,-11.712279,81.23140495867769,-0.983499999539774,-0.983499999539774,1.0
310000,1.4681925,-11.156018,81.91735537190083,-0.975090908486981,-0.975090908486981,1.0
320000,1.4681822,-10.357631,81.23140495867769,-0.9758760323824961,-0.9758760323824961,1.0
330000,1.468186,-10.291328,81.78333333333333,-0.9758760323824961,-0.9758760323824961,1.0
340000,1.4681926,-10.225541,81.77685950413223,-0.9767107431553612,-0.9767107431553612,1.0
350000,1.4681853,-9.924519,81.78512396694215,-0.98167768539476,-0.98167768539476,1.0
360000,1.4681803,-9.407917,81.78512396694215,-0.9765083326647679,-0.9765083326647679,1.0
370000,1.4681642,-9.397161,82.05,-0.9808512391014532,-0.9808512391014532,1.0
380000,1.4681574,-9.296437,80.9672131147541,-0.9810491798476118,-0.9810491798476118,1.0
390000,1.4681592,-9.184787,81.37190082644628,-0.9775206604895513,-0.9775206604895513,1.0
400000,1.4681556,-8.6966095,80.02439024390245,-0.976459676760339,-0.976459676760339,1.0
410000,1.4681501,-8.722295,80.8360655737705,-0.9785491797889843,-0.9785491797889843,1.0
