Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-674.2766,80.03252032520325,-0.833154469001584,-0.833154469001584,1.0
20000,1.4227562,-593.3064,82.2,-0.8273416634649038,-0.8273416634649038,1.0
30000,1.4257345,-583.6357,82.75630252100841,-0.8065166631092627,-0.8065166631092627,1.0
40000,1.426868,-561.57794,81.10655737704919,-0.8180165261892248,-0.8180165261892248,1.0
50000,1.4273304,-545.4451,80.55737704918033,-0.8291138182204913,-0.8291138182204913,1.0
60000,1.4297167,-532.8046,80.70731707317073,-0.8277295053493782,-0.8277295053493782,1.0
70000,1.4306802,-524.01996,80.9672131147541,-0.833467210108628,-0.833467210108628,1.0
80000,1.4317938,-517.8498,80.55737704918033,-0.8315609732900209,-0.8315609732900209,1.0
90000,1.4327695,-511.6257,82.1900826446281,-0.8131583303213119,-0.8131583303213119,1.0
100000,1.4350116,-504.15723,80.55737704918033,-0.831536582693821,-0.831536582693821,1.0
110000,1.4383504,-496.6435,80.04838709677419,-0.8405284527234915,-0.8405284527234915,1.0
120000,1.4405578,-488.55743,81.91666666666667,-0.8230082619904486,-0.8230082619904486,1.0
130000,1.4431024,-481.0322,79.91935483870968,-0.8478536561616068,-0.8478536561616068,1.0
140000,1.4461842,-471.56238,81.91666666666667,-0.8279504104832972,-0.8279504104832972,1.0
150000,1.449458,-460.79794,81.37704918032787,-0.8395289232538752,-0.8395289232538752,1.0
160000,1.4530817,-449.70798,81.77685950413223,-0.818834707633523,-0.818834707633523,1.0
170000,1.4551445,-437.03748,81.23140495867769,-0.8359262266608535,-0.8359262266608535,1.0
180000,1.456799,-423.61035,80.70731707317073,-0.8499016370929655,-0.8499016370929655,1.0
190000,1.4597738,-410.4138,80.69672131147541,-0.8348455260076174,-0.8348455260076174,1.0
200000,1.4626198,-395.76318,79.91129032258064,-0.8372601601408749,-0.8372601601408749,1.0
210000,1.4641367,-380.4389,80.8360655737705,-0.8342540959110025,-0.8342540959110025,1.0
220000,1.4660308,-364.01135,81.91666666666667,-0.8221818148966663,-0.8221818148966663,1.0
230000,1.4686828,-346.25604,82.05785123966942,-0.8265499969944358,-0.8265499969944358,1.0
240000,1.4703594,-329.51016,80.4308943089431,-0.842999996935449,-0.842999996935449,1.0
250000,1.471627,-313.08847,80.9672131147541,-0.8335081939203818,-0.8335081939203818,1.0
260000,1.4726404,-295.48413,81.23140495867769,-0.8310327838312407,-0.8310327838312407,1.0
270000,1.4736573,-278.345,80.8360655737705,-0.8359344235819871,-0.8359344235819871,1.0
280000,1.4749173,-261.80646,80.70731707317073,-0.83350819361503,-0.83350819361503,1.0
290000,1.4758539,-245.23244,80.9672131147541,-0.8326721283622452,-0.8326721283622452,1.0
300000,1.4763986,-229.05444,80.68852459016394,-0.8291056887284527,-0.8291056887284527,1.0
310000,1.4768977,-213.61961,80.57723577235772,-0.8367704890790533,-0.8367704890790533,1.0
320000,1.4778593,-198.7856,79.50806451612904,-0.8462959975600243,-0.8462959975600243,1.0
330000,1.4785117,-184.38434,81.37190082644628,-0.8180330548404662,-0.8180330548404662,1.0
340000,1.4789921,-170.8627,80.30081300813008,-0.8486666643038029,-0.8486666643038029,1.0
350000,1.4795552,-157.54152,81.50819672131148,-0.818859501195348,-0.818859501195348,1.0
360000,1.4796789,-145.12685,81.64462809917356,-0.8412396664584963,-0.8412396664584963,1.0
370000,1.4802047,-133.65668,80.30081300813008,-0.8364959323430449,-0.8364959323430449,1.0
380000,1.4806272,-122.54453,80.17073170731707,-0.8348373956069713,-0.8348373956069713,1.0
390000,1.4802614,-112.35667,81.23140495867769,-0.8318442593588203,-0.8318442593588203,1.0
400000,1.47999,-103.04062,81.23770491803279,-0.8351147515607662,-0.8351147515607662,1.0
410000,1.4798715,-94.27668,81.91735537190083,-0.827358330351611,-0.827358330351611,1.0
420000,1.4797121,-86.577896,82.2,-0.8256916639705499,-0.8256916639705499,1.0
430000,1.4797661,-79.68521,81.09836065573771,-0.835950817363184,-0.835950817363184,1.0
440000,1.4797672,-73.57623,80.42622950819673,-0.8348536561659681,-0.8348536561659681,1.0
450000,1.47981,-68.28053,80.9672131147541,-0.8392295055702085,-0.8392295055702085,1.0
460000,1.4796748,-63.855267,80.83739837398375,-0.8277131119956735,-0.8277131119956735,1.0
470000,1.4796151,-60.12186,80.55737704918033,-0.825926826494496,-0.825926826494496,1.0
480000,1.479556,-57.166103,81.10655737704919,-0.8285327842611758,-0.8285327842611758,1.0
490000,1.479477,-55.387337,80.69672131147541,-0.8367458992927778,-0.8367458992927778,1.0
500000,1.4794462,-53.82663,81.09836065573771,-0.8318442596031017,-0.8318442596031017,1.0
