Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-300.5499,81.10655737704919,-0.8271239641899905,-0.8271239641899905,1.0
20000,1.4236568,-266.47232,80.69672131147541,-0.8348455258864698,-0.8348455258864698,1.0
30000,1.4251451,-255.35173,81.78512396694215,-0.8281999972338477,-0.8281999972338477,1.0
40000,1.4273449,-232.3857,81.23140495867769,-0.8318196693893338,-0.8318196693893338,1.0
50000,1.429643,-222.82204,80.5691056910569,-0.8250894282406908,-0.8250894282406908,1.0
60000,1.432809,-182.60614,80.9672131147541,-0.8334918002613255,-0.8334918002613255,1.0
70000,1.4330652,-151.43298,80.9672131147541,-0.8342786859415594,-0.8342786859415594,1.0
80000,1.4346539,-122.04774,84.02542372881356,-0.8391794845716566,-0.8391794845716566,1.0
90000,1.4354786,-99.00003,82.75630252100841,-0.8299083303039273,-0.8299083303039273,1.0
100000,1.4369265,-77.507065,81.10655737704919,-0.8354132203770078,-0.8354132203770078,1.0
110000,1.4388754,-63.042137,84.77586206896552,-0.8340085443013754,-0.8340085443013754,1.0
120000,1.4400611,-54.90373,81.64462809917356,-0.849537187063497,-0.849537187063497,1.0
130000,1.4419323,-47.56803,81.64754098360656,-0.8312644601976575,-0.8312644601976575,1.0
140000,1.4435601,-37.412647,85.0603448275862,-0.816215513466761,-0.816215513466761,1.0
150000,1.4447719,-29.659357,83.03361344537815,-0.838529408666767,-0.838529408666767,1.0
160000,1.4453344,-23.253677,81.23140495867769,-0.8310245875818808,-0.8310245875818808,1.0
170000,1.447652,-17.656954,81.78512396694215,-0.8346033031659678,-0.8346033031659678,1.0
180000,1.4499798,-12.696196,83.03361344537815,-0.8283361318607291,-0.8283361318607291,1.0
190000,1.4509933,-8.274828,85.20689655172414,-0.8161206861379845,-0.8161206861379845,1.0
200000,1.4515613,-5.7487936,80.4390243902439,-0.8268934397301713,-0.8268934397301713,1.0
210000,1.4519309,-4.07329,82.19166666666666,-0.8172396659727924,-0.8172396659727924,1.0
220000,1.4525009,-3.5752702,80.9672131147541,-0.8269426196691443,-0.8269426196691443,1.0
230000,1.4532185,-4.679794,81.37190082644628,-0.8287933858588707,-0.8287933858588707,1.0
240000,1.4546075,-5.574145,79.91129032258064,-0.8369758041395295,-0.8369758041395295,1.0
250000,1.4562833,-3.303884,82.33333333333333,-0.8207166636983554,-0.8207166636983554,1.0
260000,1.4570472,-0.6686793,81.37190082644628,-0.8270909062717572,-0.8270909062717572,1.0
270000,1.4572731,-0.5388856,82.05785123966942,-0.819841664036115,-0.819841664036115,1.0
280000,1.4580477,-0.62571645,80.82786885245902,-0.8291382084532481,-0.8291382084532481,1.0
290000,1.4592403,-0.67358714,81.23140495867769,-0.8362396667934646,-0.8362396667934646,1.0
300000,1.4600097,-0.56044334,81.23140495867769,-0.8210819644517586,-0.8210819644517586,1.0
310000,1.4609305,-0.52948624,81.09836065573771,-0.8260819645690136,-0.8260819645690136,1.0
320000,1.4617541,-0.34108686,80.57723577235772,-0.8367295054505106,-0.8367295054505106,1.0
330000,1.4622892,-0.22389212,81.23140495867769,-0.8301311451025674,-0.8301311451025674,1.0
340000,1.4629645,-0.2070058,80.4308943089431,-0.8290975580249376,-0.8290975580249376,1.0
350000,1.4635091,-0.09281626,81.10655737704919,-0.8383934400120719,-0.8383934400120719,1.0
360000,1.4640001,-0.04500461,81.50413223140495,-0.828776856776604,-0.828776856776604,1.0
370000,1.4640696,0.2726087,82.2,-0.82650833055377,-0.82650833055377,1.0
380000,1.4643251,0.24082659,81.50819672131148,-0.8304545426787424,-0.8304545426787424,1.0
390000,1.4646698,0.4175463,79.76422764227642,-0.8563145138924161,-0.8563145138924161,1.0
400000,1.4647659,0.3900522,81.37704918032787,-0.8287603280022124,-0.8287603280022124,1.0
410000,1.4645644,0.40736726,81.09836065573771,-0.8318688495115178,-0.8318688495115178,1.0
420000,1.4646829,0.56155545,81.51239669421487,-0.8263388401713253,-0.8263388401713253,1.0
430000,1.464673,0.6729991,81.09836065573771,-0.8343032759110458,-0.8343032759110458,1.0
440000,1.4646387,0.7098064,80.55737704918033,-0.8331951194904684,-0.8331951194904684,1.0
450000,1.4646591,0.7801216,80.9672131147541,-0.8342704892647071,-0.8342704892647071,1.0
460000,1.464669,0.7934095,81.64462809917356,-0.8263305755686169,-0.8263305755686169,1.0
470000,1.4647536,0.85918003,82.61666666666666,-0.8175462151901061,-0.8175462151901061,1.0
480000,1.4648461,0.9576517,81.23140495867769,-0.8301885218405333,-0.8301885218405333,1.0
490000,1.4648926,0.9830096,81.37704918032787,-0.8321322283961556,-0.8321322283961556,1.0
500000,1.4649013,0.9506524,81.64462809917356,-0.8271570221697988,-0.8271570221697988,1.0
