Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,154.87012987012986,-0.23283859,14.657897302978917,14.657897302978917,1.0
24000,1.4209914,155.01298701298703,0.21703891,14.43571662902832,14.43571662902832,1.0
36000,1.4231751,200.68333333333334,0.66407007,19.331669720013938,19.331669720013938,1.0
48000,1.4287031,264.8666666666667,1.0818497,25.4188930299547,25.4188930299547,1.0
60000,1.4386437,321.8157894736842,1.430726,31.3171099236137,31.3171099236137,1.0
72000,1.4446385,311.39473684210526,1.8670082,30.75132001073737,30.75132001073737,1.0
84000,1.45374,429.35714285714283,2.276714,42.91964905602591,42.91964905602591,1.0
96000,1.452393,411.37931034482756,2.508373,41.10000557735049,41.10000557735049,1.0
108000,1.4591875,364.1818181818182,2.8523135,36.118186979582816,36.118186979582816,1.0
120000,1.467155,450.46153846153845,3.212995,44.94808314396785,44.94808314396785,1.0
132000,1.4713418,345.22857142857146,3.381878,34.607147870744974,34.607147870744974,1.0
144000,1.4779286,386.16129032258067,3.666072,38.44032785969396,38.44032785969396,1.0
156000,1.4798942,453.18518518518516,4.165439,45.56667281963207,45.56667281963207,1.0
168000,1.481093,482.04,4.432391,48.596005859375,48.596005859375,1.0
180000,1.4781644,435.55555555555554,4.7026634,43.685191013194896,43.685191013194896,1.0
192000,1.4790372,427.57142857142856,4.951523,42.76250604220799,42.76250604220799,1.0
204000,1.4777055,437.81481481481484,5.2175813,43.822228007846405,43.822228007846405,1.0
216000,1.4820427,452.48148148148147,5.5277486,45.40370980015508,45.40370980015508,1.0
228000,1.48737,478.32,5.6717706,48.144005966186526,48.144005966186526,1.0
240000,1.4912829,431.9259259259259,5.770273,43.381487086967184,43.381487086967184,1.0
252000,1.4945694,458.9259259259259,5.99408,46.00741372285066,46.00741372285066,1.0
264000,1.4987236,428.60714285714283,6.2236133,42.9303628376552,42.9303628376552,1.0
276000,1.4997368,487.9583333333333,6.4355717,49.0541729927063,49.0541729927063,1.0
288000,1.4982413,483.6,6.67538,48.60800605773926,48.60800605773926,1.0
300000,1.4963726,500.0,6.76753,50.33958943684896,50.33958943684896,1.0
312000,1.496165,449.8076923076923,6.821941,45.276928846652694,45.276928846652694,1.0
324000,1.4966716,483.6,7.041841,48.78600601196289,48.78600601196289,1.0
336000,1.499258,461.5,7.196948,46.33077509586628,46.33077509586628,1.0
348000,1.5029826,471.03846153846155,7.2161856,47.4230830852802,47.4230830852802,1.0
360000,1.5019389,487.0416666666667,7.4510293,49.09375619888306,49.09375619888306,1.0
372000,1.5001706,500.0,7.549038,50.39167277018229,50.39167277018229,1.0
384000,1.5017048,470.4230769230769,7.736747,47.371159920325645,47.371159920325645,1.0
396000,1.5029979,485.9166666666667,7.766533,48.93750603993734,48.93750603993734,1.0
408000,1.5024745,484.8,7.827319,48.88200622558594,48.88200622558594,1.0
420000,1.5027739,484.24,7.9895935,48.840006027221676,48.840006027221676,1.0
432000,1.5038575,500.0,7.9446664,50.45417277018229,50.45417277018229,1.0
444000,1.5037864,485.5833333333333,8.059426,48.997922698656716,48.997922698656716,1.0
456000,1.5038271,487.96,8.083621,49.058006286621094,49.058006286621094,1.0
468000,1.5043302,480.04,8.100712,48.192006225585935,48.192006225585935,1.0
480000,1.5046961,493.0,8.133372,49.70833937327067,49.70833937327067,1.0
492000,1.5050187,460.46153846153845,8.1085825,46.35577497115502,46.35577497115502,1.0
